id,auction_id,bidder_id,bid_amount,bid_date,bid_time
1,1,15,2040,2024-09-04,11:42:25
2,1,29,2080,2024-09-04,15:24:32
3,1,36,2140,2024-09-05,09:45:25
4,1,32,2180,2024-09-05,13:27:32
5,1,29,2200,2024-09-06,09:47:07
6,1,32,2280,2024-09-06,14:36:12
7,1,17,2300,2024-09-07,10:49:44
8,1,21,2320,2024-09-07,11:21:20
9,1,32,2340,2024-09-07,12:05:59
10,2,17,1530,2024-09-18,09:15:03
11,2,76,1605,2024-09-19,12:30:40
12,2,90,1650,2024-09-20,14:45:11
13,2,88,1725,2024-09-21,08:30:00
14,2,56,1785,2024-09-22,10:15:24
15,2,20,1815,2024-09-23,13:45:13
16,2,17,1860,2024-09-23,15:30:25
17,3,55,5250,2024-09-20,14:45:32
18,3,24,5350,2024-09-21,08:31:10
19,3,31,5410,2024-09-22,10:15:09
20,3,55,5455,2024-09-23,13:45:57
21,3,37,5500,2024-09-23,15:30:00
22,3,16,5515,2024-09-23,11:17:09
23,4,56,4120,2024-09-20,14:45:02
24,4,34,4240,2024-09-21,08:57:23
25,4,50,4360,2024-09-22,10:15:28
26,4,33,4480,2024-09-22,15:01:05
27,6,21,10400,2024-10-07,08:57:23
28,6,44,10600,2024-10-08,12:08:46
29,6,67,11000,2024-10-09,14:25:31
30,6,81,11500,2024-10-09,11:10:17
31,6,90,11800,2024-10-10,15:47:15
32,7,78,920,2024-10-11,08:56:43
